"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2016 00:00 - 01.01.2016 00:15","40575","44019"
"01.01.2016 00:15 - 01.01.2016 00:30","40599","43757"
"01.01.2016 00:30 - 01.01.2016 00:45","39943","43491"
"01.01.2016 00:45 - 01.01.2016 01:00","39398","43192"
"01.01.2016 01:00 - 01.01.2016 01:15","38896","42478"
"01.01.2016 01:15 - 01.01.2016 01:30","38212","41951"
"01.01.2016 01:30 - 01.01.2016 01:45","37950","41559"
"01.01.2016 01:45 - 01.01.2016 02:00","37592","41339"
"01.01.2016 02:00 - 01.01.2016 02:15","37214","40723"
"01.01.2016 02:15 - 01.01.2016 02:30","36773","40366"
"01.01.2016 02:30 - 01.01.2016 02:45","36574","40004"
"01.01.2016 02:45 - 01.01.2016 03:00","36515","39588"
"01.01.2016 03:00 - 01.01.2016 03:15","36584","39561"
"01.01.2016 03:15 - 01.01.2016 03:30","36488","39228"
"01.01.2016 03:30 - 01.01.2016 03:45","36423","39054"
"01.01.2016 03:45 - 01.01.2016 04:00","36315","38856"
"01.01.2016 04:00 - 01.01.2016 04:15","36386","38941"
"01.01.2016 04:15 - 01.01.2016 04:30","36676","38798"
"01.01.2016 04:30 - 01.01.2016 04:45","36545","38680"
"01.01.2016 04:45 - 01.01.2016 05:00","36704","38626"
"01.01.2016 05:00 - 01.01.2016 05:15","37069","38566"
"01.01.2016 05:15 - 01.01.2016 05:30","37128","38169"
"01.01.2016 05:30 - 01.01.2016 05:45","37204","37945"
"01.01.2016 05:45 - 01.01.2016 06:00","37291","37448"
"01.01.2016 06:00 - 01.01.2016 06:15","37751","37026"
"01.01.2016 06:15 - 01.01.2016 06:30","38390","36710"
"01.01.2016 06:30 - 01.01.2016 06:45","39111","36790"
"01.01.2016 06:45 - 01.01.2016 07:00","39328","36813"
"01.01.2016 07:00 - 01.01.2016 07:15","40319","36919"
"01.01.2016 07:15 - 01.01.2016 07:30","41005","37012"
"01.01.2016 07:30 - 01.01.2016 07:45","42184","37126"
"01.01.2016 07:45 - 01.01.2016 08:00","42236","37289"
"01.01.2016 08:00 - 01.01.2016 08:15","43186","37565"
"01.01.2016 08:15 - 01.01.2016 08:30","43400","37566"
"01.01.2016 08:30 - 01.01.2016 08:45","43614","37924"
"01.01.2016 08:45 - 01.01.2016 09:00","44049","38319"
"01.01.2016 09:00 - 01.01.2016 09:15","44509","39203"
"01.01.2016 09:15 - 01.01.2016 09:30","45324","39738"
"01.01.2016 09:30 - 01.01.2016 09:45","45609","40226"
"01.01.2016 09:45 - 01.01.2016 10:00","46212","40800"
"01.01.2016 10:00 - 01.01.2016 10:15","46453","41434"
"01.01.2016 10:15 - 01.01.2016 10:30","47467","42097"
"01.01.2016 10:30 - 01.01.2016 10:45","47807","42857"
"01.01.2016 10:45 - 01.01.2016 11:00","48141","43731"
"01.01.2016 11:00 - 01.01.2016 11:15","48864","44444"
"01.01.2016 11:15 - 01.01.2016 11:30","49586","45161"
"01.01.2016 11:30 - 01.01.2016 11:45","50188","45696"
"01.01.2016 11:45 - 01.01.2016 12:00","50304","45956"
"01.01.2016 12:00 - 01.01.2016 12:15","50181","46108"
"01.01.2016 12:15 - 01.01.2016 12:30","49865","46127"
"01.01.2016 12:30 - 01.01.2016 12:45","49411","46082"
"01.01.2016 12:45 - 01.01.2016 13:00","49188","45982"
"01.01.2016 13:00 - 01.01.2016 13:15","48756","45701"
"01.01.2016 13:15 - 01.01.2016 13:30","48901","45367"
"01.01.2016 13:30 - 01.01.2016 13:45","48185","45268"
"01.01.2016 13:45 - 01.01.2016 14:00","47255","45183"
"01.01.2016 14:00 - 01.01.2016 14:15","47158","45278"
"01.01.2016 14:15 - 01.01.2016 14:30","46946","45124"
"01.01.2016 14:30 - 01.01.2016 14:45","46437","45130"
"01.01.2016 14:45 - 01.01.2016 15:00","47132","44972"
"01.01.2016 15:00 - 01.01.2016 15:15","46196","45474"
"01.01.2016 15:15 - 01.01.2016 15:30","46702","45638"
"01.01.2016 15:30 - 01.01.2016 15:45","45996","45811"
"01.01.2016 15:45 - 01.01.2016 16:00","46186","45967"
"01.01.2016 16:00 - 01.01.2016 16:15","46495","46713"
"01.01.2016 16:15 - 01.01.2016 16:30","47308","47627"
"01.01.2016 16:30 - 01.01.2016 16:45","48005","48810"
"01.01.2016 16:45 - 01.01.2016 17:00","49453","50011"
"01.01.2016 17:00 - 01.01.2016 17:15","50309","51047"
"01.01.2016 17:15 - 01.01.2016 17:30","50529","51596"
"01.01.2016 17:30 - 01.01.2016 17:45","51361","52062"
"01.01.2016 17:45 - 01.01.2016 18:00","51044","52212"
"01.01.2016 18:00 - 01.01.2016 18:15","51346","52607"
"01.01.2016 18:15 - 01.01.2016 18:30","51555","52536"
"01.01.2016 18:30 - 01.01.2016 18:45","51412","52562"
"01.01.2016 18:45 - 01.01.2016 19:00","51130","52080"
"01.01.2016 19:00 - 01.01.2016 19:15","50914","51970"
"01.01.2016 19:15 - 01.01.2016 19:30","49790","51354"
"01.01.2016 19:30 - 01.01.2016 19:45","49617","50959"
"01.01.2016 19:45 - 01.01.2016 20:00","49073","50289"
"01.01.2016 20:00 - 01.01.2016 20:15","47743","50245"
"01.01.2016 20:15 - 01.01.2016 20:30","47058","49589"
"01.01.2016 20:30 - 01.01.2016 20:45","46237","48856"
"01.01.2016 20:45 - 01.01.2016 21:00","45752","48359"
"01.01.2016 21:00 - 01.01.2016 21:15","45265","48284"
"01.01.2016 21:15 - 01.01.2016 21:30","45094","48013"
"01.01.2016 21:30 - 01.01.2016 21:45","44471","47677"
"01.01.2016 21:45 - 01.01.2016 22:00","44529","47588"
"01.01.2016 22:00 - 01.01.2016 22:15","46717","48377"
"01.01.2016 22:15 - 01.01.2016 22:30","46567","47773"
"01.01.2016 22:30 - 01.01.2016 22:45","46047","47048"
"01.01.2016 22:45 - 01.01.2016 23:00","45296","46429"
"01.01.2016 23:00 - 01.01.2016 23:15","44583","45508"
"01.01.2016 23:15 - 01.01.2016 23:30","44041","44618"
"01.01.2016 23:30 - 01.01.2016 23:45","42882","43725"
"01.01.2016 23:45 - 02.01.2016 00:00","42154","43021"
"02.01.2016 00:00 - 02.01.2016 00:15","40271","42224"
"02.01.2016 00:15 - 02.01.2016 00:30","40239","41218"
"02.01.2016 00:30 - 02.01.2016 00:45","39889","40812"
"02.01.2016 00:45 - 02.01.2016 01:00","39590","40267"
"02.01.2016 01:00 - 02.01.2016 01:15","39343","39755"
"02.01.2016 01:15 - 02.01.2016 01:30","38719","39192"
"02.01.2016 01:30 - 02.01.2016 01:45","38790","39063"
"02.01.2016 01:45 - 02.01.2016 02:00","38565","38854"
"02.01.2016 02:00 - 02.01.2016 02:15","38325","38623"
"02.01.2016 02:15 - 02.01.2016 02:30","37484","38488"
"02.01.2016 02:30 - 02.01.2016 02:45","37764","38345"
"02.01.2016 02:45 - 02.01.2016 03:00","37469","38236"
"02.01.2016 03:00 - 02.01.2016 03:15","37546","38202"
"02.01.2016 03:15 - 02.01.2016 03:30","37074","38120"
"02.01.2016 03:30 - 02.01.2016 03:45","37074","38116"
"02.01.2016 03:45 - 02.01.2016 04:00","37320","38246"
"02.01.2016 04:00 - 02.01.2016 04:15","36827","38632"
"02.01.2016 04:15 - 02.01.2016 04:30","37584","38754"
"02.01.2016 04:30 - 02.01.2016 04:45","36746","38989"
"02.01.2016 04:45 - 02.01.2016 05:00","36820","39226"
"02.01.2016 05:00 - 02.01.2016 05:15","37007","39485"
"02.01.2016 05:15 - 02.01.2016 05:30","36606","39509"
"02.01.2016 05:30 - 02.01.2016 05:45","36732","39694"
"02.01.2016 05:45 - 02.01.2016 06:00","36746","39957"
"02.01.2016 06:00 - 02.01.2016 06:15","36388","40151"
"02.01.2016 06:15 - 02.01.2016 06:30","35902","40221"
"02.01.2016 06:30 - 02.01.2016 06:45","36371","40631"
"02.01.2016 06:45 - 02.01.2016 07:00","37091","41354"
"02.01.2016 07:00 - 02.01.2016 07:15","37640","42365"
"02.01.2016 07:15 - 02.01.2016 07:30","38186","43071"
"02.01.2016 07:30 - 02.01.2016 07:45","39570","43788"
"02.01.2016 07:45 - 02.01.2016 08:00","40211","44974"
"02.01.2016 08:00 - 02.01.2016 08:15","41071","46174"
"02.01.2016 08:15 - 02.01.2016 08:30","41168","46969"
"02.01.2016 08:30 - 02.01.2016 08:45","42081","47614"
"02.01.2016 08:45 - 02.01.2016 09:00","42614","48526"
"02.01.2016 09:00 - 02.01.2016 09:15","43595","49880"
"02.01.2016 09:15 - 02.01.2016 09:30","44506","50618"
"02.01.2016 09:30 - 02.01.2016 09:45","44963","51428"
"02.01.2016 09:45 - 02.01.2016 10:00","45907","52098"
"02.01.2016 10:00 - 02.01.2016 10:15","46135","52902"
"02.01.2016 10:15 - 02.01.2016 10:30","46861","53308"
"02.01.2016 10:30 - 02.01.2016 10:45","46943","53624"
"02.01.2016 10:45 - 02.01.2016 11:00","47154","53960"
"02.01.2016 11:00 - 02.01.2016 11:15","47968","54587"
"02.01.2016 11:15 - 02.01.2016 11:30","48275","55204"
"02.01.2016 11:30 - 02.01.2016 11:45","48984","55752"
"02.01.2016 11:45 - 02.01.2016 12:00","49055","55995"
"02.01.2016 12:00 - 02.01.2016 12:15","48913","56000"
"02.01.2016 12:15 - 02.01.2016 12:30","48461","55980"
