"Time (CET)","Day-ahead Total Load Forecast [MW] - France (FR)","Actual Total Load [MW] - France (FR)"
"01.01.2016 00:00 - 01.01.2016 01:00","58600","58639"
"01.01.2016 01:00 - 01.01.2016 02:00","56550","56733"
"01.01.2016 02:00 - 01.01.2016 03:00","56150","55127"
"01.01.2016 03:00 - 01.01.2016 04:00","52600","51744"
"01.01.2016 04:00 - 01.01.2016 05:00","49750","51744"
"01.01.2016 05:00 - 01.01.2016 06:00","48850","49268"
"01.01.2016 06:00 - 01.01.2016 07:00","48850","49554"
"01.01.2016 07:00 - 01.01.2016 08:00","48900","49774"
"01.01.2016 08:00 - 01.01.2016 09:00","48750","49450"
"01.01.2016 09:00 - 01.01.2016 10:00","49050","50017"
"01.01.2016 10:00 - 01.01.2016 11:00","51800","50017"
"01.01.2016 11:00 - 01.01.2016 12:00","54100","51739"
"01.01.2016 12:00 - 01.01.2016 13:00","56150","53673"
"01.01.2016 13:00 - 01.01.2016 14:00","56800","56081"
"01.01.2016 14:00 - 01.01.2016 15:00","53900","55253"
"01.01.2016 15:00 - 01.01.2016 16:00","51650","51795"
"01.01.2016 16:00 - 01.01.2016 17:00","50800","51795"
"01.01.2016 17:00 - 01.01.2016 18:00","53550","51694"
"01.01.2016 18:00 - 01.01.2016 19:00","58000","58003"
"01.01.2016 19:00 - 01.01.2016 20:00","59750","58985"
"01.01.2016 20:00 - 01.01.2016 21:00","59250","57666"
"01.01.2016 21:00 - 01.01.2016 22:00","57450","55615"
"01.01.2016 22:00 - 01.01.2016 23:00","56500","56661"
"01.01.2016 23:00 - 02.01.2016 00:00","60000","57800"
"02.01.2016 00:00 - 02.01.2016 01:00","58050","54861"
"02.01.2016 01:00 - 02.01.2016 02:00","55050","52302"
"02.01.2016 02:00 - 02.01.2016 03:00","54400","50556"
"02.01.2016 03:00 - 02.01.2016 04:00","51600","47772"
"02.01.2016 04:00 - 02.01.2016 05:00","49800","46578"
"02.01.2016 05:00 - 02.01.2016 06:00","49900","47312"
"02.01.2016 06:00 - 02.01.2016 07:00","50850","48935"
"02.01.2016 07:00 - 02.01.2016 08:00","52500","50608"
"02.01.2016 08:00 - 02.01.2016 09:00","54300","52413"
"02.01.2016 09:00 - 02.01.2016 10:00","55950","54749"
"02.01.2016 10:00 - 02.01.2016 11:00","57550","56747"
"02.01.2016 11:00 - 02.01.2016 12:00","58250","58156"
"02.01.2016 12:00 - 02.01.2016 13:00","59550","60457"
"02.01.2016 13:00 - 02.01.2016 14:00","60050","59545"
"02.01.2016 14:00 - 02.01.2016 15:00","57850","57474"
"02.01.2016 15:00 - 02.01.2016 16:00","55600","55802"
"02.01.2016 16:00 - 02.01.2016 17:00","54800","55331"
"02.01.2016 17:00 - 02.01.2016 18:00","57150","58413"
"02.01.2016 18:00 - 02.01.2016 19:00","61800","62023"
"02.01.2016 19:00 - 02.01.2016 20:00","63300","62650"
"02.01.2016 20:00 - 02.01.2016 21:00","61500","60410"
"02.01.2016 21:00 - 02.01.2016 22:00","58850","57814"
"02.01.2016 22:00 - 02.01.2016 23:00","58000","58942"
"02.01.2016 23:00 - 03.01.2016 00:00","61600","60385"
"03.01.2016 00:00 - 03.01.2016 01:00","57350","57768"
"03.01.2016 01:00 - 03.01.2016 02:00","54600","55187"
"03.01.2016 02:00 - 03.01.2016 03:00","53500","53027"
"03.01.2016 03:00 - 03.01.2016 04:00","50150","49897"
"03.01.2016 04:00 - 03.01.2016 05:00","48050","48217"
"03.01.2016 05:00 - 03.01.2016 06:00","47350","48515"
"03.01.2016 06:00 - 03.01.2016 07:00","47950","49568"
"03.01.2016 07:00 - 03.01.2016 08:00","49000","50636"
"03.01.2016 08:00 - 03.01.2016 09:00","50500","51966"
"03.01.2016 09:00 - 03.01.2016 10:00","52250","54202"
"03.01.2016 10:00 - 03.01.2016 11:00","55050","56802"
"03.01.2016 11:00 - 03.01.2016 12:00","56900","59088"
"03.01.2016 12:00 - 03.01.2016 13:00","59350","61978"
"03.01.2016 13:00 - 03.01.2016 14:00","60000","60722"
"03.01.2016 14:00 - 03.01.2016 15:00","57350","58409"
"03.01.2016 15:00 - 03.01.2016 16:00","55050","56961"
"03.01.2016 16:00 - 03.01.2016 17:00","54450","56778"
"03.01.2016 17:00 - 03.01.2016 18:00","56650","59920"
"03.01.2016 18:00 - 03.01.2016 19:00","62050","63708"
"03.01.2016 19:00 - 03.01.2016 20:00","64400","64688"
"03.01.2016 20:00 - 03.01.2016 21:00","62550","62418"
"03.01.2016 21:00 - 03.01.2016 22:00","59500","59608"
"03.01.2016 22:00 - 03.01.2016 23:00","57850","60012"
"03.01.2016 23:00 - 04.01.2016 00:00","60350","60805"
"04.01.2016 00:00 - 04.01.2016 01:00","59200","58093"
"04.01.2016 01:00 - 04.01.2016 02:00","56400","55849"
"04.01.2016 02:00 - 04.01.2016 03:00","55600","54329"
"04.01.2016 03:00 - 04.01.2016 04:00","52150","51467"
"04.01.2016 04:00 - 04.01.2016 05:00","50600","50673"
"04.01.2016 05:00 - 04.01.2016 06:00","52800","53614"
"04.01.2016 06:00 - 04.01.2016 07:00","58450","59668"
"04.01.2016 07:00 - 04.01.2016 08:00","66600","66057"
"04.01.2016 08:00 - 04.01.2016 09:00","70450","68560"
"04.01.2016 09:00 - 04.01.2016 10:00","70300","68871"
"04.01.2016 10:00 - 04.01.2016 11:00","70250","68847"
"04.01.2016 11:00 - 04.01.2016 12:00","69950","69047"
"04.01.2016 12:00 - 04.01.2016 13:00","69900","69280"
"04.01.2016 13:00 - 04.01.2016 14:00","69750","68185"
"04.01.2016 14:00 - 04.01.2016 15:00","68650","66965"
"04.01.2016 15:00 - 04.01.2016 16:00","66550","65432"
"04.01.2016 16:00 - 04.01.2016 17:00","66150","65554"
"04.01.2016 17:00 - 04.01.2016 18:00","68550","68897"
"04.01.2016 18:00 - 04.01.2016 19:00","73000","72595"
"04.01.2016 19:00 - 04.01.2016 20:00","74400","72658"
"04.01.2016 20:00 - 04.01.2016 21:00","70300","68600"
"04.01.2016 21:00 - 04.01.2016 22:00","65750","64715"
"04.01.2016 22:00 - 04.01.2016 23:00","63250","64715"
"04.01.2016 23:00 - 05.01.2016 00:00","66100","65159"
"05.01.2016 00:00 - 05.01.2016 01:00","62900","61647"
"05.01.2016 01:00 - 05.01.2016 02:00","59650","58858"
"05.01.2016 02:00 - 05.01.2016 03:00","58450","57509"
"05.01.2016 03:00 - 05.01.2016 04:00","55100","54898"
"05.01.2016 04:00 - 05.01.2016 05:00","53550","54258"
"05.01.2016 05:00 - 05.01.2016 06:00","55600","56890"
